"kind","url","status","title","note","finalUrl"
"page","http://185.23.72.228/en/haberler","200","News and Announcements - Dernek","","http://185.23.72.228/en/haberler"
"page","http://185.23.72.228/en/haberler/education-scholarship-update","200","Education Scholarship Program Update","","http://185.23.72.228/en/haberler/education-scholarship-update"
"page","http://185.23.72.228/en/haberler/egitim-bursu-guncelleme","404","","HTTP hatasÄ±","http://185.23.72.228/en/haberler/egitim-bursu-guncelleme"
"page","http://185.23.72.228/en/haberler/eid-al-adha-campaign","200","Eid al-Adha Campaign","","http://185.23.72.228/en/haberler/eid-al-adha-campaign"
"page","http://185.23.72.228/en/haberler/kurban-bayrami-kampanyasi","404","","HTTP hatasÄ±","http://185.23.72.228/en/haberler/kurban-bayrami-kampanyasi"
"page","http://185.23.72.228/en/haberler/new-water-well-project-launched","200","New Water Well Project Launched","","http://185.23.72.228/en/haberler/new-water-well-project-launched"
"page","http://185.23.72.228/en/haberler/ramadan-campaign-announcement","200","Ramadan Campaign Announcement","","http://185.23.72.228/en/haberler/ramadan-campaign-announcement"
"page","http://185.23.72.228/en/haberler/ramazan-kampanyasi-duyurusu","404","","HTTP hatasÄ±","http://185.23.72.228/en/haberler/ramazan-kampanyasi-duyurusu"
"page","http://185.23.72.228/en/haberler/yeni-su-kuyusu-projesi-baslatildi","404","","HTTP hatasÄ±","http://185.23.72.228/en/haberler/yeni-su-kuyusu-projesi-baslatildi"
"page","http://185.23.72.228/en/hakkimizdabbbb","404","","HTTP hatasÄ±","http://185.23.72.228/en/hakkimizdabbbb"
"page","http://185.23.72.228/en/hediye-katalogu","200","Gift Catalog - Dernek","","http://185.23.72.228/en/hediye-katalogu"
"page","http://185.23.72.228/en/iletisim","200","Communication - Dernek","","http://185.23.72.228/en/iletisim"
"page","http://185.23.72.228/en/kayit","200","Giriş Yap / Üye Ol - Dernek","","http://185.23.72.228/en/kayit"
"page","http://185.23.72.228/en/kurban/2026-kurban","404","","HTTP hatasÄ±","http://185.23.72.228/en/kurban/2026-kurban"
"page","http://185.23.72.228/en/kurban/2026-qurbani-campaign","200","2026 Qurbani Campaign - Dernek","","http://185.23.72.228/en/kurban/2026-qurbani-campaign"
"page","http://185.23.72.228/en/kvkk","200","KVKK Information Text - Dernek","","http://185.23.72.228/en/kvkk"
